"68,Nishadraj Shashwat,""I was thinking to buy gold membership for one month only (286₹ per month). WHEN I initiated the payment then at the payment page tinder doesn't showed me the amount that I have to pay . Well now I'm thinking that rs 286 will be deducted from my account but no they have deducted rs 3500 from my account without even telling me or asking me that they will charge the full amount. Okay, then I have place a refund request and for God sake. The support system is so worst in tinder 🤬."",1,0,17-02-2022 17:25,Tinder";;
69,Luke Harper,Just a bad app. Doesn't work properly. All about the bottom line if you dont have Gold theres no point in using it and honestly its extortionate.,1,0,17-02-2022 17:17,Tinder;;
70,STONE 12,A joke for men,1,0,17-02-2022 17:09,Tinder;;
"71,Alan Hamill,""It's a joke. Pay to see who likes you. Pay to boost your profile. Pay so they'll see you faster. Pay just so you have any hope of matching with someone, so you have a chance to compete against other men. Don't waste your time. No one on there is genuine."",1,0,17-02-2022 17:07,Tinder";;
"72,daivik kadian,""They are fraud, they automatically cancelled my subscription."",1,0,17-02-2022 16:55,Tinder";;
73,josh adrei,My account has been banned for no reason I can't trace my friends on tinder,1,0,17-02-2022 16:43,Tinder;;
74,WEIRD Ace,Iam more than 18 years old in my email acc or phone number . Why does it keep saying age restricted?,1,0,17-02-2022 16:41,Tinder;;
"75,Raj singh,""It's a scam app, it's waste of time. It's not success in India, not many real people."",1,0,17-02-2022 16:27,Tinder";;
76,Lni Inl,Best app,5,0,17-02-2022 16:13,Tinder;;
"77,Marisa Gordons,""It's quite difficult finding a genuine and serious person, most people there are just for flirting alone 🙄🙄🙄 most unserious folks, imposters out there"",1,0,17-02-2022 16:12,Tinder";;
"78,Zoe Smith,""If you know what you want, then it's really simple to get it. I hate how people almost obligate you to get Snapchat, but se la vie. It's been alright for me. Only problem is that I'm severely addicted to it now."",4,0,17-02-2022 16:10,Tinder";;
79,TheSolid Midget,I give up. Lol. It's hard enough to start finding a date when you're 5ft'5,1,0,17-02-2022 16:04,Tinder;;
80,Yashwant Daa,It's showing account under review for entire day . What's this happening? Can u clarify?,2,0,17-02-2022 15:54,Tinder;;
81,mimi_ micha,Making a fortune out of people's hope,1,0,17-02-2022 15:51,Tinder;;
82,Sandy N,Okay app- but its annoying when you want to check out more pics of the person and then you end up swiping left!,3,0,17-02-2022 15:27,Tinder;;
83,Lavon Williams,It sucks now✌️😕👎,1,0,17-02-2022 15:19,Tinder;;
84,Latif Ahmed,24x7,5,0,17-02-2022 15:17,Tinder;;
85,Dev Tamang,I got banned for no reasons. Do some thing about it.,1,0,17-02-2022 15:08,Tinder;;
86,Unknown Escobar,Matched with my sexyass shy neighbor 😏🤤😘,5,0,17-02-2022 15:06,Tinder;;
87,Isti Wulandari,great apk,4,0,17-02-2022 14:59,Tinder;;
88,RD Official,Good app,5,0,17-02-2022 14:50,Tinder;;
89,fera day,Maaf yaa kenapa saya di band stkh ganti profil???? Pdhl profil saya gk ada mengandung apa2.. saya sdh bayar loh bru pk 5 harian,5,0,17-02-2022 14:47,Tinder;;
90,Mwamba Mutale,Great,5,0,17-02-2022 14:40,Tinder;;
91,Tobenna Cyprain,Cool and fun,5,0,17-02-2022 14:36,Tinder;;
"92,Z-Paci-Z,""You can do literally nothing without paying. (except swiping left or right) £30/month, only to see who liked you? It shouldn't work like that. I deleted after 1 day. And seeing how the developers never reply on any review only shows how much they don't care."",1,0,17-02-2022 14:36,Tinder";;
93,Byson Hassan,You swipe till your thumb drops off & then your matched with shrek!!! Unbelievable!!!,1,0,17-02-2022 14:29,Tinder;;
"94,Lorenzo D.P.,""Impossible fare la sottoscrizione, rinvia continuamente a gplay con prezzi gonfiati, mentre senza non accetta . Anche con autorizzazione segnala errore. Evitatela"",1,0,17-02-2022 14:20,Tinder";;
95,Marisol Marquez,Meet my husband on the app 4 years ago. Thank you so much 💖💖,5,0,17-02-2022 14:10,Tinder;;
96,Biswajeet Jena,I Watched Tinder Swindler Last Night 🌙⏰💤💤 N Because of this app She got into Trouble,1,0,17-02-2022 13:54,Tinder;;
97,Taniya Pachauri,Worst App,1,0,17-02-2022 13:53,Tinder;;
"98,Thabiso Tiro,""Ya zama,full of scammers"",5,0,17-02-2022 13:24,Tinder";;
99,Kingsley Aboagye,Nice,5,0,17-02-2022 13:24,Tinder;;
"100,Biju N,""Cheating. You must consider my review before buying. It is simply waste of money. I used taking highest subscription. Used for long time. I determine as Tinder doing smart work for money making possibly using Bots, maybe fake profile also and machine replying. I am sure basis my analysis."",1,0,17-02-2022 13:14,Tinder";;
101,Gokul Govind,Very bad very confusion and not usefull,1,0,17-02-2022 12:48,Tinder;;
102,ryo blu3sky,Ok,5,0,17-02-2022 12:32,Tinder;;
103,Nikhil Gupta,Got my wife from here😂😂😂,1,0,17-02-2022 12:16,Tinder;;
104,Djidez Kaythlyn,This up was nice until I was blocked with no reason ...didn't even last for a month .. deleted it downloaded another but still can't work,3,0,17-02-2022 12:13,Tinder;;
105,Jon Ware,So many spams and scams,1,3,17-02-2022 11:52,Tinder;;
106,Sethidus Vorscye,Waste of time,1,1,17-02-2022 11:45,Tinder;;
"107,Precious Lobitana,""a frustrating app ever, you should take this down guys."",1,0,17-02-2022 11:44,Tinder";;
"108,Svae Oleandro,""Too many scammers, chicks that use it for marketing their Instagram, it will be ok if they could ban people who just come there for advertising their sites/insta/fb"",2,1,17-02-2022 11:27,Tinder";;
109,anand raval,Excellent experience,5,0,17-02-2022 11:25,Tinder;;
"110,Luis Bastos,""This app sucks! If I get one match every two months it means I'm in luck, cause the app just doesn't care about it Plus, I have some unknown likes to try to guess from people using this app for about 6 months in total! And of course, in order for me to know who they are I need to pay... It's amazing, this app was made for girls only, only they decide and don't even need to think about it... I myself gave up on the app, I don't care who matches or not, I just want to talk and they want my money"",1,0,17-02-2022 11:18,Tinder";;
111,Chanchal Koli,Best app,5,0,17-02-2022 11:13,Tinder;;
112,sifat ahmed,I cant log in to my tinder accnt,4,0,17-02-2022 11:12,Tinder;;
113,Juan Rod,great,5,0,17-02-2022 10:51,Tinder;;
114,Juan Carlos Zapata,Awful,1,0,17-02-2022 10:46,Tinder;;
"115,Rima,""Let me tell you true story. I got a yearly subscription of tinder. Got 20 boosts. Then they suddenly deleted my account. I protested and after around 10 days, they refunded the amount back to me. Now, out if nowhere they banned me from tinder. I pleaded and sought the reason. But believe me, tinder people are so autocratic and whimsical that they make unilateral decisions without even giving you a right to explain. I mailed them continuously to please and please let me create tinder profile."",1,0,17-02-2022 10:41,Tinder";;
"116,Ash Chase,""Don't bother, I was banned after a Week and didn't do any thing wrong to violent the terms, I contacted Customer support and they were no help at all. Just cause I didn't want to pay membership fees"",1,0,17-02-2022 10:32,Tinder";;
"117,Alex Hope O'Connor,""A lot of stress really and costs quite a bit of money, apps like this want to maximise the time you use them and money you spend on them so they are not really made to be quick or efficient, so if your busy it's actually a stressful waste of time."",2,0,17-02-2022 10:11,Tinder";;
118,T.U.G Explained,It's fake app,1,0,17-02-2022 10:08,Tinder;;
119,Jeremy Stead,Sucks,1,0,17-02-2022 09:54,Tinder;;
"120,Crystal Peitz,""So-so. It's one of the cheaper options, but.. you can buy your way to the top of the list (how is that a match?)"; Spotify only shows the most popular songs in your account, not the ones you actually listen to;" you have to pay to see to matches, and the """"matches"""" either have little in common with me OR they live 100km away. My search parameters are under 50. Still the lesser of many evils, hence the 3 stars"",3,0,17-02-2022 09:54,Tinder"
121,Somnath Bhattacharjee,I am trying again and again but OTP is not coming,2,0,17-02-2022 09:38,Tinder;;
"122,S C,""Its no wondet this app is rated so low.. This app sucks and thats to put it lightly. I got banned for a term I """"supposedly"""" violated but yet it didnt give me any specific detail about it for one thing. Second, its to goddamn expensive forget paying so much for only a few months. Rather save my money for something better anyways. F*** this sh**"",1,0,17-02-2022 09:36,Tinder";;
123,Babul pratap,This is a fake app.... Just looting money....,1,0,17-02-2022 09:34,Tinder;;
"124,Zack Henderson,""Don't use this app, and definitely don't spend money on it. It worked for the first day, after that it stopped matching at all. I got tinder gold for teh lulz and it doesn't do anything besides give you superlikes, which are useless. Their support team is also useless. There's no phone number so the only way to contact them is by email, and even if you do contact them they'll just poop responses copied from the troubleshooting faq inside the app. Update: received an email confirming this. GG"",1,149,17-02-2022 09:16,Tinder";;
125,Eitan Shalev,meh,4,0,17-02-2022 08:58,Tinder;;
126,jonathan Ali forking,Excellent 😊,5,0,17-02-2022 08:53,Tinder;;
127,vitor vicente,incredible,1,0,17-02-2022 08:51,Tinder;;
128,Kenneth Diaz,Can't see who likes your profile unless you pay..... really Uninstall,1,0,17-02-2022 08:39,Tinder;;
129,Carlisyl Asiama,Hate that they ask me about my location.,1,0,17-02-2022 08:35,Tinder;;
"130,Chris Moran,""An all around broken app, Spotify songs are broken, the algorithm is broken, swiping is even broken!!!"",1,0,17-02-2022 08:33,Tinder";;
"131,18 RLX FJBLGB,""3 stars, way too many transexual, transforming, cross dressing dudes in the women's section. Makes it so annoying, as I go through a lot of swipes to eventually find the right female."",3,0,17-02-2022 08:32,Tinder";;
132,Laura Paris,I like it I meet a lot of cool people but I find a nice guy I hope he stays,5,0,17-02-2022 08:16,Tinder;;
"133,Gina Walder,""I found out that this app violate google play terms of service and I reported it, when I try to delete my account I keep getting a """"Failed to delete account"""" error message I contacted the developer and got no response for over 2 weeks now This app keeps a lot of your personal information without your consent Do not use this app! it's super dangerous!!"",1,0,17-02-2022 08:07,Tinder";;
134,Vijai Samuel,Quite limited if not a premium member but still overall a fun game until someone likes you back! :),5,0,17-02-2022 07:49,Tinder;;
"135,Jessica Archer,""I'd rate it negative if I could. I got blocked after having the app for an hour. Uploaded my photos, verified my account, did nothing wrong, but still got blocked. Tinder has no appeals process, and customer service will offer no explanation as to why they permanently ban you."",1,0,17-02-2022 07:27,Tinder";;
136,relaxing song Mapanao,Love,5,0,17-02-2022 07:13,Tinder;;
137,Rex Quite,Don't use,1,0,17-02-2022 07:09,Tinder;;
138,A Google user,zero stars. political cancel culture corporation. If you're white and conservative they will cancel you. If you're female and conservative they won't cancel you because they want as many females on there as possible. This is a perfect example of how woke is morally broke. This is a complete garbage app run by people who will pretend to be anything in order to make a buck. Anything except for what they really are of course. That they will never reveal. But in good time they too will be cancelled.,1,0,17-02-2022 07:05,Tinder;;
139,Johan,Great,5,0,17-02-2022 06:46,Tinder;;
"140,Olga Ivicic,""I got blocked for no reason, you people are heartless, I met an amazing guy on there and you did this to me,may u rot In hell fg Scammers"",1,0,17-02-2022 06:43,Tinder";;
"141,Michael Goldenberg,""Experience was less than inspiring nor was it successful. In 2 words, A bust"",1,0,17-02-2022 06:37,Tinder";;
"142,Blessing Luvs,""I feel like if someone gets banned from the app they should be told what it is exactly that they did wrong, instead of just the """" you violated our Terms and conditions"""". I'm hardly on the app and I go get on my account and it said that I was banned and I don't know why. I have followed all the rules and I end up being banned. I need answers, I have either the platinum or gold and I can't get into the account at all to cancel it."",1,0,17-02-2022 06:30,Tinder";;
143,Louwan Jnr,Perfect,5,0,17-02-2022 06:27,Tinder;;
"144,Josh H,""They deleted superlikes, the ability to match with verified users only, they've really ruined the app. Also their parent company """"Match Group"""" also owns Hinge, OkCupid and POF. They literally own the entire monopoly, which is why online dating is awful now."",1,33,17-02-2022 06:22,Tinder";;
"145,Yoav G,""Extremely bad app. They shadowban people for no reason. There is a better chance to meet someone outside, like in a bar or club."",1,299,17-02-2022 06:08,Tinder";;
"146,PARA HIGH,""I have taken platinum membership and it worked for starting 2-3 days,after that I am not getting any matches ,money waste app"",1,0,17-02-2022 06:02,Tinder";;
"147,Leo Coco,""It's totally fake,it's been three I am using this app i don't find anything good in this app, after purchasing gold pass, don't waste time"",1,0,17-02-2022 05:56,Tinder";;
"148,Roxanne,""Worst app ever, if you want to be sexually abused then get your account deleted after buying a membership this is the place to go, goodluck getting a refund too, many catfish too and if you try to find other pictures of people they'll ban your account without warning"",1,0,17-02-2022 04:50,Tinder";;
149,FYD Seiggod,Lots of bots scammers and catfishing but it's ok and iv met a couple good people made some friends,5,0,17-02-2022 04:37,Tinder;;
150,kamaljeet singh,Nic,5,0,17-02-2022 04:28,Tinder;;
"151,John Pajar,""This app doesn't deserve even one star, my account has been banned for no reason. I didn't do anything against your policy. This really sucks, you know?"",1,0,17-02-2022 04:25,Tinder";;
152,Bubble Gum,App sucks. Girls use it to lure guys into the crypto scene. Guys use it to send dick pictures.,1,0,17-02-2022 04:19,Tinder;;
153,Martin Perez,paid 40 u$s for tinder plus.. upgraded for tinder gold for 20 more but they charged me 60.. no way to contact..,1,0,17-02-2022 04:13,Tinder;;
154,Hydrogenmissle,Nobody wants to pay money to maybee find a date when u cpuld go out and do it for free the old fashioned way..,1,0,17-02-2022 04:02,Tinder;;
155,Daniel Williams,Nobody hits me up because im ugly but there are alot of women here,5,0,17-02-2022 03:50,Tinder;;
156,aziz bassier,Blocked me for no apparent reason,1,0,17-02-2022 03:46,Tinder;;
157,Brian Caboose,Cool,5,0,17-02-2022 03:39,Tinder;;
158,Dexter James Peren,Amazing,5,0,17-02-2022 03:32,Tinder;;
159,Misha McKinley,This is ridiculous 😒. Have to uninstall and reinstall just to do anything.,1,0,17-02-2022 03:26,Tinder;;
160,Levi Cantu,Trash,1,0,17-02-2022 03:23,Tinder;;
"161,MARC WEIDLER,""Do you even screen who is on here? Its all prostitutes and scammers. Seriously, you need keep up on this"",1,0,17-02-2022 02:51,Tinder";;
"162,Ryan Pitulej,""Too many fake profiles, esp instahoes using the app for more followers, filters are pointless showing people far away even if you choose to find someone within a certain radius of your location, bio has minimal space, lacking many user options, only some messages get through after a """"super like"""" not all, which is a waste, especially after seeing someone you're really interested in, and Can't delete liked profiles. App is overpriced trash."",1,29,17-02-2022 02:50,Tinder";;
163,Tim Drion,I see artists I don't listen to and I can not disable those to stop showing them on my profile.,1,0,17-02-2022 02:46,Tinder;;
164,Luka Dobrojevic,Stupid as F BYEEEEE,1,0,17-02-2022 02:42,Tinder;;
165,Olga Baloyi,I wouldn't recommend this app to anyone. My account has been banned for no reason. I tried to get this sorted out but no one is willing to help.,1,0,17-02-2022 02:37,Tinder;;
"166,Vivica Blossom,""My account was banned, yet the subscription didn't stop on the tinder plus, I no longer have access to this account to stop the subscription, please do the needful and cancel the subscription, this is a rip off and its stealing."",1,0,17-02-2022 02:37,Tinder";;
167,Brandin Ellis,Horrible app.. first 2 days got lost of matches .. so I paid for a month .. and now I can't even get a match let alone the people I had matched with don't even respond... go to plenty of fish at least you can actually meet girls,1,0,17-02-2022 02:21,Tinder;;
168,odion Angel p,Great place to found love,5,0,17-02-2022 02:19,Tinder;;
"169,Jaylin Agee,""It's ight, can't complain"",5,0,17-02-2022 01:54,Tinder";;
"170,Ben Clelland,""I hadn't even used the app in years, deleted my account then tried to come back and I'm banned? Huh?"",1,0,17-02-2022 01:49,Tinder";;
171,Jon M,Full of nothing but scammers and bots / fake accounts. Waste of time and money.,1,2,17-02-2022 01:34,Tinder;;
172,Lehlohonolo Modise,I love its user friendly,5,0,17-02-2022 01:32,Tinder;;
173,Danny is ded,Terrible app Having issues with sign in from the very start,1,0,17-02-2022 01:20,Tinder;;
174,Fitzroy Dowlatt,The app is ok but the pricing to upgrade is ridiculously high,4,0,17-02-2022 01:19,Tinder;;
"175,Lauren Rossen,""I like the app but I really encourage the Tinder team to add gender-inclusive options for setting the parameters of who shows up. I don't like that it's based on male/female (ASAB/AGAB) instead of the gender I've selected to show up. Otherwise, it's a pretty good app and some of the updates have been good!"",4,0,17-02-2022 01:14,Tinder";;
"176,Nikita Panin,""Не могу авторизоваться в приложение по номеру телефона в другой стране. У меня SIM-карта, выпущенная в России. Сейчас я нахожусь в ЮАР. При авторизации возникает ошибка. Получается авторизоваться только на ПК через браузер с включенным VPN, с настроенной локацией Россия."",1,0,17-02-2022 01:09,Tinder";;
"177,shoaib shaikh,""Just entertainment, no matches..."",1,0,17-02-2022 01:02,Tinder";;
178,jack birse,Logged in with my mobile number and now it tinder no longer sends me log in codes,1,0,17-02-2022 01:01,Tinder;;
179,N Masiyah,Banned me for no reason,1,0,17-02-2022 00:50,Tinder;;
180,Grace Grace,Tinder blocked me again Again for no apparent reasons I'm tired of this back and forth Please I want to cancel all my subscriptions on tinder...how do I do so ? Again... blocking me with my subscriptions still active is theft Please cancel all my subscriptions,1,0,17-02-2022 00:47,Tinder;;
181,tyler fentem,be gone Satan,1,0,17-02-2022 00:46,Tinder;;
182,Ayobami Stoic,Nice,4,0,17-02-2022 00:33,Tinder;;
183,Emilly Sagara,Quite amazing!,5,0,17-02-2022 00:33,Tinder;;
"184,Dennis Reynolds,""Absolute dumpster fire of a pay to win app. Constant prompts to buy boosts - sure you can ignore them, but then your matches will be few and far between, even with a Gold subscription."",1,75,17-02-2022 00:27,Tinder";;
185,Balram Singh,Fadu app passa wast,1,0,17-02-2022 00:25,Tinder;;
186,Anthony Soto,Just a bunch of good looking women that want attention and never respond to men's messages. Probably the worst dating app out there.,1,0,17-02-2022 00:24,Tinder;;
187,Madhur,Not at all recommend.,1,0,17-02-2022 00:20,Tinder;;
188,as e,too many error why i can't dele my acc and getting no match,1,0,17-02-2022 00:18,Tinder;;
189,Celena Gomez,Ok,4,0,17-02-2022 00:12,Tinder;;
190,Jacquelyn Hipes,Trash app,1,0,17-02-2022 00:06,Tinder;;
"191,Emilia Theodosiou,""Reviewed 5 stars back in 2019. Since 2020, the overall user experience has become extremely poor. Too many ads&push notifications if you don't swipe for a few days, people sending inappropriate texts, app lagging all the time and the list goes on. On top of all that, I got banned for absolutely no reason even if I have acted appropriately and in full compliance with the terms of use and community guidelines. The struggle to contact them to get my account back is great and fruitless. Uninstall :("",1,0,16-02-2022 23:55,Tinder";;
192,Nathon Nuckolls,Anyone have the problem where the app sends a notification saying you just got a match or someone sent you a like and then you go check and there is nothing?,2,0,16-02-2022 23:50,Tinder;;
193,Prashant Mishra,They need money for giving likes to someone. 😂,1,0,16-02-2022 23:48,Tinder;;
"194,Rhayor Meenajesty,""Very scamming app,they debited me of over a 8,000naira for a sub they claimed is 600naira,and refuse to refund my money"",1,0,16-02-2022 23:30,Tinder";;
"195,Alex Smittle,""From a guys perspective this app is terrible. Sure you will match with people. However, 99% of the matches you get will not respond to you. And the ones who do will be rude and expect you to be Romeo. This app is a validation app for women and hell for men."",1,0,16-02-2022 23:29,Tinder";;
"196,Pablo Joakimnsen,""Nice APP to meet people, and it's very secure. :) 😎.😎"",5,1,16-02-2022 23:21,Tinder";;
197,Aida Teow,Good 🌃,5,0,16-02-2022 23:11,Tinder;;
198,Shinigami Ryuk,Okay so far it's good,5,0,16-02-2022 23:00,Tinder;;
199,Nayem Islam,Just a waste of time. Stay away,1,0,16-02-2022 22:50,Tinder;;
200,Md Shariful Islam,Good,5,0,16-02-2022 22:45,Tinder;;
201,Khương Lê,Couldn't allow this app to use my location to continue,1,0,16-02-2022 22:45,Tinder;;
202,CANGASTER NCS,Good,5,0,16-02-2022 22:28,Tinder;;
203,Jeremy Mcdonald,Stole 33 dollars from me,1,0,16-02-2022 22:26,Tinder;;
"204,Ankita Baroi,""Ekdum bekar app hai, ek bhi handsome Banda match nahi hota"",1,0,16-02-2022 22:23,Tinder";;
205,Hey Das,Blind date is not working in my account.,1,0,16-02-2022 22:22,Tinder;;
206,Mark Ian Labiano,Why i can't receive verification code?? Annoying...,1,0,16-02-2022 22:22,Tinder;;
207,nikkiMUSIC Collection,Sheet this apps,1,0,16-02-2022 22:21,Tinder;;
208,Adam Embeya,This App it's real and I do like it much 💪💪💪✔️,5,0,16-02-2022 22:19,Tinder;;
209,Tyagan Girl,Worst app,1,0,16-02-2022 22:07,Tinder;;
210,Rta Oneshot,My cheesy pick up line work I think lol,4,0,16-02-2022 22:00,Tinder;;
211,Shahid Inam,Awesome,5,0,16-02-2022 21:52,Tinder;;
212,Marvin Balibalita,It's good,5,0,16-02-2022 21:46,Tinder;;
